,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,bird:443,person:468,bird:492,bird:474,bird:496,bird:470
person:2,0,1612,461,2517,1825,164,754,2792,2398,1106,1445,1010,1080,1415
person:3,1612,0,1150,904,250,1516,2366,1182,1233,505,839,1601,1062,2176
person:5,461,1150,0,2055,1365,382,1215,2331,2000,644,1075,962,788,1498
person:119,2517,904,2055,0,706,2420,3271,281,1218,1410,1498,2399,1849,2936
handbag:137,1825,250,1365,706,0,1739,2579,972,1300,726,1065,1851,1311,2425
handbag:363,164,1516,382,2420,1739,0,858,2698,2249,1014,1293,857,920,1292
person:370,754,2366,1215,3271,2579,858,0,3547,3067,1860,2110,1413,1704,1542
person:377,2792,1182,2331,281,972,2698,3547,0,1387,1686,1767,2675,2127,3207
bird:443,2398,1233,2000,1218,1300,2249,3067,1387,0,1513,958,1797,1365,2179
person:468,1106,505,644,1410,726,1014,1860,1686,1513,0,762,1233,763,1822
bird:492,1445,839,1075,1498,1065,1293,2110,1767,958,762,0,930,419,1439
bird:474,1010,1601,962,2399,1851,857,1413,2675,1797,1233,930,0,550,589
bird:496,1080,1062,788,1849,1311,920,1704,2127,1365,763,419,550,0,1114
bird:470,1415,2176,1498,2936,2425,1292,1542,3207,2179,1822,1439,589,1114,0
