,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,backpack:137,person:164,bird:125,bird:97,bird:195,bird:201,bird:161
person:1,0,917,2498,1610,1355,2221,2797,3363,2624,2628,1259,1140,1821,2488,2119
person:2,917,0,1584,693,439,1309,1883,2451,1708,1751,987,1565,1187,1672,1336
person:3,2498,1584,0,899,1145,277,298,867,151,446,1879,2824,1310,769,887
person:4,1610,693,899,0,260,630,1197,1766,1017,1130,1276,2106,1040,1161,926
person:5,1355,439,1145,260,0,870,1443,2012,1269,1330,1088,1867,998,1298,1004
person:9,2221,1309,277,630,870,0,575,1142,415,557,1632,2564,1114,753,744
person:66,2797,1883,298,1197,1443,575,0,569,197,475,2141,3097,1532,864,1081
person:119,3363,2451,867,1766,2012,1142,569,0,756,849,2640,3608,1982,1203,1518
backpack:137,2624,1708,151,1017,1269,415,197,756,0,523,2030,2973,1459,881,1031
person:164,2628,1751,446,1130,1330,557,475,849,523,0,1798,2769,1132,391,668
bird:125,1259,987,1879,1276,1088,1632,2141,2640,2030,1798,0,971,710,1518,1146
bird:97,1140,1565,2824,2106,1867,2564,3097,3608,2973,2769,971,0,1670,2485,2117
bird:195,1821,1187,1310,1040,998,1114,1532,1982,1459,1132,710,1670,0,817,464
bird:201,2488,1672,769,1161,1298,753,864,1203,881,391,1518,2485,817,0,381
bird:161,2119,1336,887,926,1004,744,1081,1518,1031,668,1146,2117,464,381,0
