,person:641,person:648,person:652,person:673,person:703,handbag:723,backpack:119,bird:753,person:778,bird:779,person:675,bird:791,bird:795,bird:736
person:641,0,2434,3373,125,947,3274,54,3055,506,2402,285,1889,2766,3601
person:648,2434,0,939,2544,1507,841,2379,1248,1949,1040,2176,1048,806,1379
person:652,3373,939,0,3484,2446,98,3319,1274,2888,1534,3116,1801,1024,850
person:673,125,2544,3484,0,1048,3385,175,3179,602,2527,374,2014,2889,3723
person:703,947,1507,2446,1048,0,2348,893,2310,445,1704,674,1217,1956,2760
handbag:723,3274,841,98,3385,2348,0,3220,1230,2790,1456,3018,1710,954,865
backpack:119,54,2379,3319,175,893,3220,0,3004,454,2352,237,1839,2714,3548
bird:753,3055,1248,1274,3179,2310,1230,3004,0,2672,659,2867,1166,442,741
person:778,506,1949,2888,602,445,2790,454,2672,0,2038,228,1529,2347,3169
bird:779,2402,1040,1534,2527,1704,1456,2352,659,2038,0,2224,513,529,1316
person:675,285,2176,3116,374,674,3018,237,2867,228,2224,0,1712,2555,3382
bird:791,1889,1048,1801,2014,1217,1710,1839,1166,1529,513,1712,0,931,1769
bird:795,2766,806,1024,2889,1956,954,2714,442,2347,529,2555,931,0,842
bird:736,3601,1379,850,3723,2760,865,3548,741,3169,1316,3382,1769,842,0
