,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,person:119,handbag:137,bird:151,bird:161,person:164,bird:168,bird:79,bird:160,bird:97
person:1,0,876,2468,1740,1447,2196,2925,3391,3217,2644,2674,2445,2662,1236,665,969,1499
person:2,876,0,1597,877,573,1324,2053,2529,2348,1770,1880,1690,1822,711,1355,820,968
person:3,2468,1597,0,731,1024,272,457,941,751,200,724,833,427,1511,2834,1945,1448
person:4,1740,877,731,0,320,463,1188,1653,1477,917,1064,946,954,851,2110,1262,883
person:5,1447,573,1024,320,0,752,1480,1959,1776,1197,1377,1234,1274,762,1870,1110,893
person:9,2196,1324,272,463,752,0,729,1210,1023,454,823,839,598,1273,2572,1701,1240
person:66,2925,2053,457,1188,1480,729,0,511,301,296,802,1031,496,1941,3283,2378,1848
person:73,3391,2529,941,1653,1959,1210,511,0,224,806,947,1234,771,2334,3706,2770,2199
person:119,3217,2348,751,1477,1776,1023,301,224,0,598,908,1178,667,2200,3558,2637,2085
handbag:137,2644,1770,200,917,1197,454,296,806,598,0,817,976,493,1711,3026,2144,1648
bird:151,2674,1880,724,1064,1377,823,802,947,908,817,0,290,326,1500,2883,1918,1315
bird:161,2445,1690,833,946,1234,839,1031,1234,1178,976,290,0,535,1243,2618,1650,1040
person:164,2662,1822,427,954,1274,598,496,771,667,493,326,535,0,1565,2942,2000,1428
bird:168,1236,711,1511,851,762,1273,1941,2334,2200,1711,1500,1243,1565,0,1384,437,275
bird:79,665,1355,2834,2110,1870,2572,3283,3706,3558,3026,2883,2618,2942,1384,0,968,1582
bird:160,969,820,1945,1262,1110,1701,2378,2770,2637,2144,1918,1650,2000,437,968,0,613
bird:97,1499,968,1448,883,893,1240,1848,2199,2085,1648,1315,1040,1428,275,1582,613,0
