,person:3,person:119,person:377,person:566,person:583,person:587,person:596,bird:554,bird:537,person:641,kite:643
person:3,0,2335,2777,3128,2630,3225,1424,2430,2060,515,2068
person:119,2335,0,443,795,295,896,916,1556,1462,1825,786
person:377,2777,443,0,366,152,474,1355,1759,1748,2266,1095
person:566,3128,795,366,0,501,110,1712,1872,1929,2620,1326
person:583,2630,295,152,501,0,604,1211,1654,1622,2120,960
person:587,3225,896,474,110,604,0,1813,1895,1972,2718,1388
person:596,1424,916,1355,1712,1211,1813,0,1657,1374,911,934
bird:554,2430,1556,1759,1872,1654,1895,1657,0,369,2102,813
bird:537,2060,1462,1748,1929,1622,1972,1374,369,0,1741,676
person:641,515,1825,2266,2620,2120,2718,911,2102,1741,0,1625
kite:643,2068,786,1095,1326,960,1388,934,813,676,1625,0
