,person:641,person:648,person:652,person:703,handbag:723,backpack:119,bird:753,person:778,person:675,bird:791,bird:795,bird:798,bird:799,bird:802,person:803,kite:807
person:641,0,2459,3377,911,3289,8,3544,522,299,2083,3057,2207,1508,2804,1029,565
person:648,2459,0,919,1570,831,2465,1559,1961,2186,1003,947,661,1317,1041,1433,2444
person:652,3377,919,0,2488,88,3383,1276,2880,3106,1669,877,1352,2138,1248,2352,3337
person:703,911,1570,2488,0,2401,916,2812,395,623,1419,2268,1436,961,2084,162,1088
handbag:723,3289,831,88,2401,0,3295,1266,2793,3018,1588,831,1269,2051,1190,2264,3249
backpack:119,8,2465,3383,916,3295,0,3551,526,303,2091,3064,2215,1516,2812,1035,570
bird:753,3544,1559,1276,2812,1266,3551,0,3146,3338,1463,612,1376,2047,739,2650,3298
person:778,522,1961,2880,395,2793,526,3146,0,228,1712,2624,1779,1182,2409,530,818
person:675,299,2186,3106,623,3018,303,3338,228,0,1890,2829,1981,1338,2599,753,704
bird:791,2083,1003,1669,1419,1588,2091,1463,1712,1890,0,1040,345,585,726,1259,1848
bird:795,3057,947,877,2268,831,3064,612,2624,2829,1040,0,849,1612,403,2109,2879
bird:798,2207,661,1352,1436,1269,2215,1376,1779,1981,345,849,0,801,659,1275,2052
bird:799,1508,1317,2138,961,2051,1516,2047,1182,1338,585,1612,801,0,1312,818,1267
bird:802,2804,1041,1248,2084,1190,2812,739,2409,2599,726,403,659,1312,0,1922,2572
person:803,1029,1433,2352,162,2264,1035,2650,530,753,1259,2109,1275,818,1922,0,1133
kite:807,565,2444,3337,1088,3249,570,3298,818,704,1848,2879,2052,1267,2572,1133,0
