,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,bird:443,person:468,bird:470,bird:491,bird:492,bird:474,bird:459
person:2,0,1657,466,2533,1821,167,749,2801,2615,1230,1464,1254,1624,1213,950
person:3,1657,0,1191,876,208,1592,2406,1146,1313,426,2136,2604,645,1289,1995
person:5,466,1191,0,2067,1357,422,1215,2335,2201,764,1505,1575,1207,984,1101
person:119,2533,876,2067,0,727,2467,3282,275,1122,1303,2844,3431,1214,2000,2801
handbag:137,1821,208,1357,727,0,1768,2570,985,1354,600,2344,2804,823,1496,2199
handbag:363,167,1592,422,2467,1768,0,829,2738,2489,1168,1309,1183,1504,1051,812
person:370,749,2406,1215,3282,2570,829,0,3551,3300,1979,1663,980,2325,1770,1122
person:377,2801,1146,2335,275,985,2738,3551,0,1253,1572,3109,3707,1479,2268,3075
bird:443,2615,1313,2201,1122,1354,2489,3300,1253,0,1588,2302,3117,994,1609,2477
person:468,1230,426,764,1303,600,1168,1979,1572,1588,0,1850,2218,683,1045,1633
bird:470,1464,2136,1505,2844,2344,1309,1663,3109,2302,1850,0,955,1630,852,552
bird:491,1254,2604,1575,3431,2804,1183,980,3707,3117,2218,955,0,2275,1516,646
bird:492,1624,645,1207,1214,823,1504,2325,1479,994,683,1630,2275,0,791,1630
bird:474,1213,1289,984,2000,1496,1051,1770,2268,1609,1045,852,1516,791,0,871
bird:459,950,1995,1101,2801,2199,812,1122,3075,2477,1633,552,646,1630,871,0
