,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,person:468,bird:492,bird:474,bird:496,bird:470
person:2,0,1571,476,2519,1783,198,743,2808,1000,1240,936,944,1378
person:3,1571,0,1095,948,260,1447,2314,1238,571,954,1895,1223,2246
person:5,476,1095,0,2043,1310,373,1219,2332,524,908,1084,742,1525
person:119,2519,948,2043,0,754,2393,3262,293,1519,1723,2771,2072,3068
handbag:137,1783,260,1310,754,0,1672,2525,1032,792,1209,2153,1483,2506
handbag:363,198,1447,373,2393,1672,0,884,2684,880,1046,813,746,1262
person:370,743,2314,1219,3262,2525,884,0,3551,1743,1877,1128,1515,1441
person:377,2808,1238,2332,293,1032,2684,3551,0,1808,2007,3061,2361,3352
person:468,1000,571,524,1519,792,880,1743,1808,0,750,1424,836,1822
bird:492,1240,954,908,1723,1209,1046,1877,2007,750,0,1078,392,1345
bird:474,936,1895,1084,2771,2153,813,1128,3061,1424,1078,0,700,449
bird:496,944,1223,742,2072,1483,746,1515,2361,836,392,700,0,1023
bird:470,1378,2246,1525,3068,2506,1262,1441,3352,1822,1345,449,1023,0
