,person:3,person:119,person:377,person:468,person:566,person:583,person:587,person:596,bird:554,bird:537,bird:625,bird:615
person:3,0,2063,2499,579,2817,2297,2920,1107,2414,2005,1480,1162
person:119,2063,0,437,2640,756,233,863,961,1371,1250,3033,2946
person:377,2499,437,0,3076,335,207,449,1394,1496,1490,3445,3374
person:468,579,2640,3076,0,3395,2874,3499,1681,2934,2523,1381,964
person:566,2817,756,335,3395,0,523,114,1718,1538,1619,3700,3654
person:583,2297,233,207,2874,523,0,631,1195,1395,1342,3241,3167
person:587,2920,863,449,3499,114,631,0,1824,1552,1660,3778,3741
person:596,1107,961,1394,1681,1718,1195,1824,0,1692,1351,2255,2087
bird:554,2414,1371,1496,2934,1538,1395,1552,1692,0,411,2655,2774
bird:537,2005,1250,1490,2523,1619,1342,1660,1351,411,0,2299,2388
bird:625,1480,3033,3445,1381,3700,3241,3778,2255,2655,2299,0,436
bird:615,1162,2946,3374,964,3654,3167,3741,2087,2774,2388,436,0
