,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,handbag:838
person:648,0,887,1747,810,1990,2213,1444,1343,343
person:652,887,0,2634,78,2877,3100,2331,458,594
person:703,1747,2634,0,2557,244,470,312,3090,2060
handbag:723,810,78,2557,0,2800,3023,2254,533,525
person:778,1990,2877,244,2800,0,226,548,3333,2304
person:675,2213,3100,470,3023,226,0,768,3555,2529
person:803,1444,2331,312,2254,548,768,0,2786,1765
person:811,1343,458,3090,533,3333,3555,2786,0,1051
handbag:838,343,594,2060,525,2304,2529,1765,1051,0
