,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,person:897,handbag:838,person:909,bird:877,bird:917,bird:922,bird:923
person:648,0,783,1799,703,1969,2238,1470,1329,201,399,2089,895,1321,822,1371
person:652,783,0,2582,95,2752,3021,2253,548,588,408,2872,1279,2047,1522,1036
person:703,1799,2582,0,2501,170,444,338,3128,1995,2186,297,1898,906,1263,2909
handbag:723,703,95,2501,0,2671,2939,2171,626,513,347,2790,1185,1955,1428,1000
person:778,1969,2752,170,2671,0,274,504,3298,2165,2356,132,2043,1024,1415,3065
person:675,2238,3021,444,2939,274,0,768,3565,2435,2627,149,2266,1218,1651,3302
person:803,1470,2253,338,2171,504,768,0,2797,1668,1861,619,1574,646,934,2574
person:811,1329,548,3128,626,3298,3565,2797,0,1136,955,3416,1679,2556,2028,1047
person:897,201,588,1995,513,2165,2435,1668,1136,0,198,2286,986,1515,1008,1285
handbag:838,399,408,2186,347,2356,2627,1861,955,198,0,2478,1115,1712,1200,1241
person:909,2089,2872,297,2790,132,149,619,3416,2286,2478,0,2128,1089,1508,3159
bird:877,895,1279,1898,1185,2043,2266,1574,1679,986,1115,2128,0,1065,643,1058
bird:917,1321,2047,906,1955,1024,1218,646,2556,1515,1712,1089,1065,0,528,2119
bird:922,822,1522,1263,1428,1415,1651,934,2028,1008,1200,1508,643,528,0,1650
bird:923,1371,1036,2909,1000,3065,3302,2574,1047,1285,1241,3159,1058,2119,1650,0
