,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,handbag:838,bird:870
person:648,0,884,1750,793,1996,2216,1452,1337,332,1057
person:652,884,0,2635,93,2881,3101,2336,455,596,1851
person:703,1750,2635,0,2544,247,471,309,3088,2056,1098
handbag:723,793,93,2544,0,2790,3010,2245,544,512,1759
person:778,1996,2881,247,2790,0,224,548,3334,2304,1293
person:675,2216,3101,471,3010,224,0,765,3553,2526,1471
person:803,1452,2336,309,2245,548,765,0,2788,1764,817
person:811,1337,455,3088,544,3334,3553,2788,0,1049,2268
handbag:838,332,596,2056,512,2304,2526,1764,1049,0,1385
bird:870,1057,1851,1098,1759,1293,1471,817,2268,1385,0
