,person:1,person:2,person:3,person:4,person:5,person:9,person:66,bird:71,bird:26,bird:45
person:1,0,846,2871,2062,1293,2358,3187,3051,1858,1206
person:2,846,0,2030,1229,448,1519,2345,2298,1208,951
person:3,2871,2030,0,817,1581,515,315,941,1429,2218
person:4,2062,1229,817,0,786,303,1131,1191,788,1450
person:5,1293,448,1581,786,0,1072,1897,1899,940,1043
person:9,2358,1519,515,303,1072,0,830,1051,1010,1737
person:66,3187,2345,315,1131,1897,830,0,978,1699,2510
bird:71,3051,2298,941,1191,1899,1051,978,0,1231,2071
bird:26,1858,1208,1429,788,940,1010,1699,1231,0,852
bird:45,1206,951,2218,1450,1043,1737,2510,2071,852,0
