,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,person:667,bird:672,person:673,person:675,bird:679,bird:684
person:119,0,432,919,1022,643,1722,2413,760,1959,1399,1127,639,1865,692
person:377,432,0,499,608,1071,2149,2840,1192,2384,1780,708,214,2279,1004
person:566,919,499,0,112,1563,2642,3332,1676,2878,2172,209,284,2709,1365
person:587,1022,608,112,0,1666,2744,3434,1776,2981,2245,108,394,2790,1436
person:641,643,1071,1563,1666,0,1079,1769,150,1315,1020,1771,1282,1338,722
person:648,1722,2149,2642,2744,1079,0,690,973,241,1157,2850,2361,894,1560
person:652,2413,2840,3332,3434,1769,690,0,1660,459,1650,3540,3051,1167,2205
backpack:658,760,1192,1676,1776,150,973,1660,0,1213,885,1883,1399,1188,702
person:667,1959,2384,2878,2981,1315,241,459,1213,0,1346,3086,2596,994,1797
bird:672,1399,1780,2172,2245,1020,1157,1650,885,1346,0,2352,1944,599,808
person:673,1127,708,209,108,1771,2850,3540,1883,3086,2352,0,494,2899,1543
person:675,639,214,284,394,1282,2361,3051,1399,2596,1944,494,0,2461,1148
bird:679,1865,2279,2709,2790,1338,894,1167,1188,994,599,2899,2461,0,1370
bird:684,692,1004,1365,1436,722,1560,2205,702,1797,808,1543,1148,1370,0
