,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,person:897,handbag:838
person:648,0,842,1803,739,2006,2242,1472,1306,192,367
person:652,842,0,2645,106,2848,3084,2315,468,654,498
person:703,1803,2645,0,2542,204,446,342,3110,1991,2156
handbag:723,739,106,2542,0,2745,2981,2211,567,552,403
person:778,2006,2848,204,2745,0,241,537,3312,2194,2359
person:675,2242,3084,446,2981,241,0,770,3547,2431,2598
person:803,1472,2315,342,2211,537,770,0,2777,1662,1830
person:811,1306,468,3110,567,3312,3547,2777,0,1120,966
person:897,192,654,1991,552,2194,2431,1662,1120,0,176
handbag:838,367,498,2156,403,2359,2598,1830,966,176,0
