,person:1,person:2,person:3,person:5,person:119,backpack:137,bird:298,handbag:363,bird:365,person:370,person:377,bird:383,person:66,bird:306,bird:279,bird:392,bird:387,bird:308
person:1,0,816,2361,1298,3357,2544,1567,853,1296,261,3529,1299,2656,2449,814,2230,1742,802
person:2,816,0,1550,485,2545,1728,1458,128,1400,555,2717,1053,1845,1734,886,1514,1213,1237
person:3,2361,1550,0,1064,995,226,2135,1510,2368,2099,1168,1799,295,785,2088,733,1314,2554
person:5,1298,485,1064,0,2060,1245,1540,456,1607,1037,2231,1122,1360,1319,1178,1108,1016,1605
person:119,3357,2545,995,2060,0,831,2956,2504,3249,3095,178,2682,700,1289,3039,1409,2117,3510
backpack:137,2544,1728,226,1245,831,0,2361,1698,2593,2282,995,2025,186,949,2305,932,1538,2769
bird:298,1567,1458,2135,1540,2956,2361,0,1339,409,1465,3129,420,2364,1694,753,1547,840,991
handbag:363,853,128,1510,456,2504,1698,1339,0,1300,592,2678,930,1805,1642,802,1421,1089,1184
bird:365,1296,1400,2368,1607,3249,2593,409,1300,0,1254,3426,570,2620,2024,540,1855,1147,611
person:370,261,555,2099,1037,3095,2282,1465,592,1254,0,3268,1147,2395,2204,725,1984,1532,865
person:377,3529,2717,1168,2231,178,995,3129,2678,3426,3268,0,2859,873,1455,3217,1582,2291,3688
bird:383,1299,1053,1799,1122,2682,2025,420,930,570,1147,2859,0,2050,1480,529,1299,605,935
person:66,2656,1845,295,1360,700,186,2364,1805,2620,2395,873,2050,0,848,2366,871,1528,2835
bird:306,2449,1734,785,1319,1289,949,1694,1642,2024,2204,1455,1480,848,0,1924,220,878,2385
bird:279,814,886,2088,1178,3039,2305,753,802,540,725,3217,529,2366,1924,0,1722,1088,470
bird:392,2230,1514,733,1108,1409,932,1547,1421,1855,1984,1582,1299,871,220,1722,0,711,2187
bird:387,1742,1213,1314,1016,2117,1538,840,1089,1147,1532,2291,605,1528,878,1088,711,0,1530
bird:308,802,1237,2554,1605,3510,2769,991,1184,611,865,3688,935,2835,2385,470,2187,1530,0
