,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,person:897,handbag:838
person:648,0,845,1800,739,2005,2239,1470,1309,192,367
person:652,845,0,2645,109,2851,3085,2315,467,657,497
person:703,1800,2645,0,2539,207,445,341,3110,1988,2155
handbag:723,739,109,2539,0,2744,2978,2209,570,552,398
person:778,2005,2851,207,2744,0,238,539,3314,2194,2361
person:675,2239,3085,445,2978,238,0,769,3547,2429,2597
person:803,1470,2315,341,2209,539,769,0,2778,1660,1830
person:811,1309,467,3110,570,3314,3547,2778,0,1123,964
person:897,192,657,1988,552,2194,2429,1660,1123,0,175
handbag:838,367,497,2155,398,2361,2597,1830,964,175,0
