,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:820,person:838,bird:808
person:648,0,891,1751,813,1969,2204,1441,1328,1157,210,1412
person:652,891,0,2642,84,2861,3096,2333,440,1225,681,1013
person:703,1751,2642,0,2564,223,461,322,3079,2405,1961,2941
handbag:723,813,84,2564,0,2783,3017,2254,514,1164,602,993
person:778,1969,2861,223,2783,0,237,531,3297,2581,2180,3133
person:675,2204,3096,461,3017,237,0,763,3531,2779,2415,3343
person:803,1441,2333,322,2254,531,763,0,2767,2090,1652,2619
person:811,1328,440,3079,514,3297,3531,2767,0,1416,1117,997
bird:820,1157,1225,2405,1164,2581,2779,2090,1416,0,1102,640
person:838,210,681,1961,602,2180,2415,1652,1117,1102,0,1267
bird:808,1412,1013,2941,993,3133,3343,2619,997,640,1267,0
