,person:1,person:2,person:3,person:4,person:5,person:9,person:66,kite:71,person:73,bird:45,bird:82
person:1,0,852,2706,1989,1325,2317,3130,3155,3403,910,873
person:2,852,0,1858,1148,474,1471,2281,2387,2557,1149,709
person:3,2706,1858,0,722,1384,390,423,985,701,2645,2160
person:4,1989,1148,722,0,678,332,1145,1338,1413,1949,1454
person:5,1325,474,1384,678,0,998,1807,1962,2083,1458,958
person:9,2317,1471,390,332,998,0,813,1138,1085,2268,1778
person:66,3130,2281,423,1145,1807,813,0,944,288,3048,2570
kite:71,3155,2387,985,1338,1962,1138,944,0,923,2800,2404
person:73,3403,2557,701,1413,2083,1085,288,923,0,3283,2814
bird:45,910,1149,2645,1949,1458,2268,3048,2800,3283,0,504
bird:82,873,709,2160,1454,958,1778,2570,2404,2814,504,0
