,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,bird:672,person:673,person:675,bird:695
person:119,0,405,926,1020,321,1687,2458,388,2514,1125,655,1540
person:377,405,0,530,625,720,2088,2859,793,2900,720,255,1889
person:566,926,530,0,96,1246,2614,3384,1308,3358,234,274,2304
person:587,1020,625,96,0,1340,2707,3477,1400,3437,186,370,2378
person:641,321,720,1246,1340,0,1368,2139,135,2257,1440,974,1352
person:648,1687,2088,2614,2707,1368,0,770,1311,1308,2808,2342,1195
person:652,2458,2859,3384,3477,2139,770,0,2080,1212,3578,3113,1692
backpack:658,388,793,1308,1400,135,1311,2080,0,2142,1513,1041,1219
bird:672,2514,2900,3358,3437,2257,1308,1212,2142,0,3585,3121,1096
person:673,1125,720,234,186,1440,2808,3578,1513,3585,0,473,2537
person:675,655,255,274,370,974,2342,3113,1041,3121,473,0,2086
bird:695,1540,1889,2304,2378,1352,1195,1692,1219,1096,2537,2086,0
