,person:566,person:641,person:648,person:652,person:658,person:673,person:703,handbag:723,backpack:119,bird:708,bird:753,bird:757,bird:736,person:778,bird:779,bird:780,bird:747,bird:776,bird:781
person:566,0,278,2451,3371,948,120,1098,3308,343,3343,1942,2779,2394,524,1607,1480,3365,2059,1977
person:641,278,0,2180,3100,672,395,822,3038,131,3101,1734,2544,2162,247,1429,1291,3116,1826,1736
person:648,2451,2180,0,920,1510,2571,1362,858,2112,1200,1127,899,810,1936,1434,1394,1117,812,757
person:652,3371,3100,920,0,2430,3491,2282,62,3032,915,1840,1125,1345,2856,2216,2216,724,1543,1547
person:658,948,672,1510,2430,0,1067,150,2368,621,2488,1249,1953,1585,426,1066,909,2485,1254,1145
person:673,120,395,2571,3491,1067,0,1217,3429,463,3461,2053,2895,2510,642,1711,1589,3484,2176,2095
person:703,1098,822,1362,2282,150,1217,0,2220,771,2360,1173,1833,1473,576,1036,881,2350,1147,1032
handbag:723,3308,3038,858,62,2368,3429,2220,0,2969,909,1787,1088,1296,2794,2160,2158,722,1487,1489
backpack:119,343,131,2112,3032,621,463,771,2969,0,3003,1618,2441,2057,228,1304,1168,3023,1722,1636
bird:708,3343,3101,1200,915,2488,3461,2360,909,3003,0,1477,577,961,2881,1879,1943,195,1287,1366
bird:753,1942,1734,1127,1840,1249,2053,1173,1787,1618,1477,0,900,532,1552,403,474,1551,316,385
bird:757,2779,2544,899,1125,1953,2895,1833,1088,2441,577,900,0,386,2330,1303,1365,659,719,811
bird:736,2394,2162,810,1345,1585,2510,1473,1296,2057,961,532,386,0,1952,934,985,1021,336,440
person:778,524,247,1936,2856,426,642,576,2794,228,2881,1552,2330,1952,0,1281,1133,2888,1616,1519
bird:779,1607,1429,1434,2216,1066,1711,1036,2160,1304,1879,403,1303,934,1281,0,157,1954,672,683
bird:780,1480,1291,1394,2216,909,1589,881,2158,1168,1943,474,1365,985,1133,157,0,2005,688,668
bird:747,3365,3116,1117,724,2485,3484,2350,722,3023,195,1551,659,1021,2888,1954,2005,0,1329,1393
bird:776,2059,1826,812,1543,1254,2176,1147,1487,1722,1287,316,719,336,1616,672,688,1329,0,128
bird:781,1977,1736,757,1547,1145,2095,1032,1489,1636,1366,385,811,440,1519,683,668,1393,128,0
