,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:873,person:897,handbag:838,bird:863,bird:877
person:648,0,827,1825,723,2022,2266,1495,1276,1828,157,332,1496,1366
person:652,827,0,2652,109,2850,3094,2322,452,1424,674,528,875,2110
person:703,1825,2652,0,2549,200,448,342,3101,3351,1979,2136,3226,1042
handbag:723,723,109,2549,0,2746,2989,2217,552,1425,572,437,911,2001
person:778,2022,2850,200,2746,0,248,531,3298,3518,2176,2336,3411,1158
person:675,2266,3094,448,2989,248,0,772,3541,3727,2421,2581,3641,1327
person:803,1495,2322,342,2217,531,772,0,2769,3014,1650,1812,2884,781
person:811,1276,452,3101,552,3298,3541,2769,0,1305,1124,980,665,2514
bird:873,1828,1424,3351,1425,3518,3727,3014,1305,0,1754,1737,645,2440
person:897,157,674,1979,572,2176,2421,1650,1124,1754,0,178,1380,1513
handbag:838,332,528,2136,437,2336,2581,1812,980,1737,178,0,1306,1692
bird:863,1496,875,3226,911,3411,3641,2884,665,645,1380,1306,0,2453
bird:877,1366,2110,1042,2001,1158,1327,781,2514,2440,1513,1692,2453,0
