,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,person:897,handbag:838,person:909,kite:877,kite:917
person:648,0,796,1812,717,1976,2238,1471,1321,209,399,2090,890,1404
person:652,796,0,2609,95,2772,3035,2268,528,593,419,2887,1429,2157
person:703,1812,2609,0,2529,165,432,352,3134,2017,2200,288,1666,817
handbag:723,717,95,2529,0,2692,2954,2186,605,518,358,2806,1334,2066
person:778,1976,2772,165,2692,0,267,508,3297,2180,2364,126,1797,915
person:675,2238,3035,432,2954,267,0,767,3558,2444,2629,147,2013,1101
person:803,1471,2268,352,2186,508,767,0,2791,1678,1863,619,1332,566
person:811,1321,528,3134,605,3297,3558,2791,0,1120,946,3411,1855,2651
person:897,209,593,2017,518,2180,2444,1678,1120,0,190,2296,1031,1610
handbag:838,399,419,2200,358,2364,2629,1863,946,190,0,2481,1186,1799
person:909,2090,2887,288,2806,126,147,619,3411,2296,2481,0,1877,974
kite:877,890,1429,1666,1334,1797,2013,1332,1855,1031,1186,1877,0,930
kite:917,1404,2157,817,2066,915,1101,566,2651,1610,1799,974,930,0
