,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,bird:443,person:468,bird:470,bird:392,bird:489,bird:490,bird:491,bird:492
person:2,0,1663,463,2532,1820,129,750,2805,2739,1276,1383,1330,1424,948,1180,1854
person:3,1663,0,1199,870,199,1594,2412,1143,1389,387,1969,1096,745,1036,2377,639
person:5,463,1199,0,2069,1359,406,1213,2342,2322,812,1379,1027,1030,626,1422,1427
person:119,2532,870,2069,0,723,2464,3282,276,1128,1256,2678,1775,1421,1842,3183,1029
handbag:137,1820,199,1359,723,0,1760,2571,988,1412,553,2168,1292,937,1234,2572,766
handbag:363,129,1594,406,2464,1760,0,824,2738,2631,1209,1265,1206,1313,829,1113,1752
person:370,750,2412,1213,3282,2571,824,0,3555,3428,2026,1657,1943,2111,1610,1100,2563
person:377,2805,1143,2342,276,988,2738,3555,0,1217,1529,2939,2038,1688,2117,3456,1278
bird:443,2739,1389,2322,1128,1412,2631,3428,1217,0,1659,2281,1522,1318,1817,2956,897
person:468,1276,387,812,1256,553,1209,2026,1529,1659,0,1717,925,645,741,2045,794
bird:470,1383,1969,1379,2678,2168,1265,1657,2939,2281,1717,0,903,1262,981,740,1668
bird:392,1330,1096,1027,1775,1292,1206,1943,2038,1522,925,903,0,361,401,1466,778
bird:489,1424,745,1030,1421,937,1313,2111,1688,1318,645,1262,361,0,504,1782,468
bird:490,948,1036,626,1842,1234,829,1610,2117,1817,741,981,401,504,0,1345,968
bird:491,1180,2377,1422,3183,2572,1113,1100,3456,2956,2045,740,1466,1782,1345,0,2238
bird:492,1854,639,1427,1029,766,1752,2563,1278,897,794,1668,778,468,968,2238,0
