,person:1,person:2,person:3,person:5,person:9,person:66,person:119,backpack:137,bird:201,person:251,person:4,bird:298,bird:308,bird:306,bird:280
person:1,0,861,2469,1314,2193,2762,3391,2642,1734,1011,1571,2431,1678,3326,2172
person:2,861,0,1611,453,1336,1903,2534,1782,1327,441,710,1693,1126,2525,1383
person:3,2469,1611,0,1158,277,292,923,197,1744,1581,902,932,1435,1143,680
person:5,1314,453,1158,0,884,1450,2082,1328,1287,582,257,1350,1005,2113,1003
person:9,2193,1336,277,884,0,568,1198,464,1539,1307,630,884,1221,1322,552
person:66,2762,1903,292,1450,568,0,632,162,1957,1864,1194,1031,1661,972,870
person:119,3391,2534,923,2082,1198,632,0,770,2448,2474,1826,1406,2181,814,1384
backpack:137,2642,1782,197,1328,464,162,770,0,1936,1772,1071,1077,1630,1124,861
bird:201,1734,1327,1744,1287,1539,1957,2448,1936,0,890,1336,1075,323,2013,1088
person:251,1011,441,1581,582,1307,1864,2474,1772,890,0,778,1419,719,2326,1174
person:4,1571,710,902,257,630,1194,1826,1071,1336,778,0,1191,1026,1889,825
bird:298,2431,1693,932,1350,884,1031,1406,1077,1075,1419,1191,0,868,955,374
bird:308,1678,1126,1435,1005,1221,1661,2181,1630,323,719,1026,868,0,1823,801
bird:306,3326,2525,1143,2113,1322,972,814,1124,2013,2326,1889,955,1823,0,1154
bird:280,2172,1383,680,1003,552,870,1384,861,1088,1174,825,374,801,1154,0
