,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,person:667,bird:672,person:673,person:675,bird:679
person:119,0,429,907,1011,674,1732,2422,796,1966,1343,1117,631,1817
person:377,429,0,492,602,1098,2156,2845,1225,2388,1721,703,211,2229
person:566,907,492,0,114,1581,2640,3329,1701,2874,2101,210,281,2647
person:587,1011,602,114,0,1685,2743,3432,1801,2978,2174,108,391,2728
person:641,674,1098,1581,1685,0,1058,1748,153,1292,967,1790,1304,1274
person:648,1732,2156,2640,2743,1058,0,689,947,237,1177,2849,2363,894
person:652,2422,2845,3329,3432,1748,689,0,1633,459,1692,3538,3052,1202
backpack:658,796,1225,1701,1801,153,947,1633,0,1183,838,1908,1427,1120
person:667,1966,2388,2874,2978,1292,237,459,1183,0,1369,3083,2596,1001
bird:672,1343,1721,2101,2174,967,1177,1692,838,1369,0,2280,1875,603
person:673,1117,703,210,108,1790,2849,3538,1908,3083,2280,0,491,2837
person:675,631,211,281,391,1304,2363,3052,1427,2596,1875,491,0,2402
bird:679,1817,2229,2647,2728,1274,894,1202,1120,1001,603,2837,2402,0
