,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,person:673,person:675,bird:695,person:703,bird:707,bird:708
person:377,0,532,616,415,2097,2885,543,702,249,2327,762,2194,1074
person:566,532,0,83,940,2620,3409,1045,199,283,2730,1290,2650,1394
person:587,616,83,0,1024,2703,3492,1126,144,367,2797,1373,2723,1455
person:641,415,940,1024,0,1682,2470,166,1116,661,1980,349,1810,863
person:648,2097,2620,2703,1682,0,789,1579,2799,2343,1263,1336,838,1659
person:652,2885,3409,3492,2470,789,0,2369,3587,3132,1612,2122,1241,2394
backpack:658,543,1045,1126,166,1579,2369,0,1231,776,1816,293,1656,714
person:673,702,199,144,1116,2799,3587,1231,0,455,2930,1464,2847,1593
person:675,249,283,367,661,2343,3132,776,455,0,2516,1010,2408,1213
bird:695,2327,2730,2797,1980,1263,1612,1816,2930,2516,0,1756,426,1355
person:703,762,1290,1373,349,1336,2122,293,1464,1010,1756,0,1534,876
bird:707,2194,2650,2723,1810,838,1241,1656,2847,2408,426,1534,0,1361
bird:708,1074,1394,1455,863,1659,2394,714,1593,1213,1355,876,1361,0
