,person:1,person:2,person:3,person:4,person:5,person:6,person:9,bird:45,bird:15,bird:14
person:1,0,847,2958,2141,1277,3340,2399,1503,2040,1223
person:2,847,0,2115,1305,431,2496,1559,916,1363,672
person:3,2958,2115,0,826,1684,382,561,1783,1388,1951
person:4,2141,1305,826,0,877,1209,266,1017,793,1144
person:5,1277,431,1684,877,0,2064,1127,769,1071,641
person:6,3340,2496,382,1209,2064,0,944,2148,1720,2326
person:9,2399,1559,561,266,1127,944,0,1264,965,1406
bird:45,1503,916,1783,1017,769,2148,1264,0,549,280
bird:15,2040,1363,1388,793,1071,1720,965,549,0,819
bird:14,1223,672,1951,1144,641,2326,1406,280,819,0
