,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,person:468,bird:492,bird:474,bird:496,bird:470
person:2,0,1521,485,2512,1752,193,736,2824,936,1149,1113,786,1442
person:3,1521,0,1035,991,284,1413,2256,1306,584,1118,2209,1405,2349
person:5,485,1035,0,2027,1270,400,1221,2339,451,893,1379,742,1637
person:119,2512,991,2027,0,782,2403,3248,318,1576,1938,3133,2324,3217
handbag:137,1752,284,1270,782,0,1660,2487,1082,827,1399,2488,1687,2633
handbag:363,193,1413,400,2403,1660,0,860,2719,833,956,1030,599,1331
person:370,736,2256,1221,3248,2487,860,0,3561,1671,1721,1037,1255,1410
person:377,2824,1306,2339,318,1082,2719,3561,0,1889,2248,3449,2641,3527
person:468,936,584,451,1576,827,833,1671,1889,0,848,1709,947,1906
bird:492,1149,1118,893,1938,1399,956,1721,2248,848,0,1233,484,1279
bird:474,1113,2209,1379,3133,2488,1030,1037,3449,1709,1233,0,809,375
bird:496,786,1405,742,2324,1687,599,1255,2641,947,484,809,0,960
bird:470,1442,2349,1637,3217,2633,1331,1410,3527,1906,1279,375,960,0
