,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:873,person:897,handbag:838,bird:899,bird:900
person:648,0,838,1811,736,2013,2255,1485,1294,1710,166,333,1933,1396
person:652,838,0,2649,106,2852,3093,2323,459,1376,676,539,1441,2168
person:703,1811,2649,0,2548,206,451,338,3105,3185,1973,2122,3508,947
handbag:723,736,106,2548,0,2750,2991,2221,558,1365,577,449,1458,2062
person:778,2013,2852,206,2750,0,245,531,3307,3353,2176,2326,3683,1062
person:675,2255,3093,451,2991,245,0,770,3548,3559,2418,2570,3894,1229
person:803,1485,2323,338,2221,531,770,0,2778,2852,1648,1802,3172,699
person:811,1294,459,3105,558,3307,3548,2778,0,1316,1135,998,1258,2586
bird:873,1710,1376,3185,1365,3353,3559,2852,1316,0,1648,1646,375,2360
person:897,166,676,1973,577,2176,2418,1648,1135,1648,0,170,1845,1557
handbag:838,333,539,2122,449,2326,2570,1802,998,1646,170,0,1811,1727
bird:899,1933,1441,3508,1458,3683,3894,3172,1258,375,1845,1811,0,2711
bird:900,1396,2168,947,2062,1062,1229,699,2586,2360,1557,1727,2711,0
