,person:119,person:377,person:566,person:583,person:587,person:596,person:641,person:648,person:652,backpack:658,person:663,kite:666,person:667,bird:668,kite:669,bird:651,bird:537
person:119,0,436,861,321,970,776,1063,1766,2437,1219,1070,728,2022,2346,780,2434,2223
person:377,436,0,435,129,551,1208,1498,2199,2870,1655,647,994,2453,2767,1169,2848,2628
person:566,861,435,0,540,120,1638,1925,2628,3299,2078,211,1274,2884,3146,1531,3216,2985
person:583,321,129,540,0,649,1098,1385,2088,2759,1539,748,873,2344,2639,1040,2720,2499
person:587,970,551,120,649,0,1747,2032,2736,3406,2183,101,1336,2992,3231,1615,3297,3062
person:596,776,1208,1638,1098,1747,0,292,990,1661,460,1846,918,1245,1687,580,1805,1637
person:641,1063,1498,1925,1385,2032,292,0,704,1374,174,2132,1083,962,1429,687,1558,1413
person:648,1766,2199,2628,2088,2736,990,704,0,671,566,2836,1708,260,1052,1297,1219,1193
person:652,2437,2870,3299,2759,3406,1661,1374,671,0,1229,3507,2334,420,1027,1928,1188,1304
backpack:658,1219,1655,2078,1539,2183,460,174,566,1229,0,2283,1159,827,1259,749,1391,1256
person:663,1070,647,211,748,101,1846,2132,2836,3507,2283,0,1433,3092,3332,1716,3397,3161
kite:666,728,994,1274,873,1336,918,1083,1708,2334,1159,1433,0,1963,1941,411,1987,1742
person:667,2022,2453,2884,2344,2992,1245,962,260,420,827,3092,1963,0,1046,1552,1218,1248
bird:668,2346,2767,3146,2639,3231,1687,1429,1052,1027,1259,3332,1941,1046,0,1616,171,317
kite:669,780,1169,1531,1040,1615,580,687,1297,1928,749,1716,411,1552,1616,0,1686,1460
bird:651,2434,2848,3216,2720,3297,1805,1558,1219,1188,1391,3397,1987,1218,171,1686,0,262
bird:537,2223,2628,2985,2499,3062,1637,1413,1193,1304,1256,3161,1742,1248,317,1460,262,0
