,person:2,person:3,person:5,person:119,handbag:137,person:377,person:468,bird:496,bird:522,bird:492,bird:514
person:2,0,1443,439,2501,1762,2794,846,872,1943,976,2637
person:3,1443,0,1004,1058,366,1353,597,1783,902,1362,1361
person:5,439,1004,0,2062,1326,2354,406,1032,1562,892,2229
person:119,2501,1058,2062,0,761,297,1655,2775,1180,2295,931
handbag:137,1762,366,1326,761,0,1041,927,2149,1047,1725,1299
person:377,2794,1353,2354,297,1041,0,1949,3071,1428,2588,1042
person:468,846,597,406,1655,927,1949,0,1292,1236,986,1858
bird:496,872,1783,1032,2775,2149,3071,1292,0,1864,525,2605
bird:522,1943,902,1562,1180,1047,1428,1236,1864,0,1339,741
bird:492,976,1362,892,2295,1725,2588,986,525,1339,0,2080
bird:514,2637,1361,2229,931,1299,1042,1858,2605,741,2080,0
