,person:648,person:652,person:703,handbag:723,person:778,person:803,person:811,person:897,handbag:838,person:909,bird:923,bird:877,bird:922
person:648,0,677,1712,575,1919,1457,1377,199,339,2091,1908,1242,609
person:652,677,0,2390,117,2597,2134,701,481,352,2769,1466,1006,1065
person:703,1712,2390,0,2287,208,272,3090,1909,2045,387,3400,2651,1601
handbag:723,575,117,2287,0,2493,2029,803,386,272,2664,1478,962,947
person:778,1919,2597,208,2493,0,467,3296,2116,2253,180,3583,2833,1786
person:803,1457,2134,272,2029,467,0,2832,1655,1793,634,3128,2380,1329
person:811,1377,701,3090,803,3296,2832,0,1183,1052,3467,1192,1141,1678
person:897,199,481,1909,386,2116,1655,1183,0,140,2289,1788,1167,733
handbag:838,339,352,2045,272,2253,1793,1052,140,0,2426,1726,1148,847
person:909,2091,2769,387,2664,180,634,3467,2289,2426,0,3725,2976,1934
bird:923,1908,1466,3400,1478,3583,3128,1192,1788,1726,3725,0,749,1799
bird:877,1242,1006,2651,962,2833,2380,1141,1167,1148,2976,749,0,1051
bird:922,609,1065,1601,947,1786,1329,1678,733,847,1934,1799,1051,0
