,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,bird:672,person:673,person:675,bird:679,bird:695
person:119,0,405,926,1022,346,1680,2447,442,2337,1122,655,2767,1468
person:377,405,0,530,628,745,2081,2849,847,2720,718,255,3160,1816
person:566,926,530,0,98,1271,2607,3374,1361,3173,231,274,3630,2230
person:587,1022,628,98,0,1367,2703,3469,1456,3254,182,373,3714,2306
person:641,346,745,1271,1367,0,1336,2103,150,2063,1463,999,2472,1268
person:648,1680,2081,2607,2703,1336,0,767,1250,1207,2799,2335,1414,1186
person:652,2447,2849,3374,3469,2103,767,0,2016,1210,3566,3103,1119,1704
backpack:658,442,847,1361,1456,150,1250,2016,0,1921,1563,1095,2338,1118
bird:672,2337,2720,3173,3254,2063,1207,1210,1921,0,3398,2939,492,978
person:673,1122,718,231,182,1463,2799,3566,1563,3398,0,469,3852,2459
person:675,655,255,274,373,999,2335,3103,1095,2939,469,0,3388,2013
bird:679,2767,3160,3630,3714,2472,1414,1119,2338,492,3852,3388,0,1465
bird:695,1468,1816,2230,2306,1268,1186,1704,1118,978,2459,2013,1465,0
