,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,person:119,handbag:137,person:164,bird:160,bird:177,bird:185,bird:125,bird:97
person:1,0,902,2461,1575,1417,2224,2877,3421,3292,2673,2649,756,1066,2188,1523,1265
person:2,902,0,1564,690,517,1328,1980,2525,2396,1772,1789,1220,964,1468,944,1204
person:3,2461,1564,0,891,1046,237,415,962,833,228,464,2567,2010,1015,1383,2135
person:4,1575,690,891,0,202,654,1306,1846,1718,1110,1101,1707,1214,928,744,1391
person:5,1417,517,1046,202,0,810,1462,2008,1879,1255,1293,1624,1192,1116,831,1393
person:9,2224,1328,237,654,810,0,653,1197,1068,458,576,2337,1792,918,1186,1928
person:66,2877,1980,415,1306,1462,653,0,548,419,227,507,2966,2391,1258,1741,2498
person:73,3421,2525,962,1846,2008,1197,548,0,129,769,879,3476,2881,1640,2213,2966
person:119,3292,2396,833,1718,1879,1068,419,129,0,641,769,3353,2761,1538,2097,2850
handbag:137,2673,1772,228,1110,1255,458,227,769,641,0,532,2794,2238,1200,1608,2361
person:164,2649,1789,464,1101,1293,576,507,879,769,532,0,2624,2014,772,1341,2089
bird:160,756,1220,2567,1707,1624,2337,2966,3476,3353,2794,2624,0,640,1991,1305,708
bird:177,1066,964,2010,1214,1192,1792,2391,2881,2761,2238,2014,640,0,1354,677,244
bird:185,2188,1468,1015,928,1116,918,1258,1640,1538,1200,772,1991,1354,0,693,1378
bird:125,1523,944,1383,744,831,1186,1741,2213,2097,1608,1341,1305,677,693,0,756
bird:97,1265,1204,2135,1391,1393,1928,2498,2966,2850,2361,2089,708,244,1378,756,0
