,person:566,person:641,person:648,person:652,person:658,person:673,person:675,person:703,handbag:723,backpack:119,bird:733,bird:742,bird:745,bird:747,bird:749,bird:708,bird:720
person:566,0,548,2537,3356,963,174,285,1153,3353,605,2098,2209,2820,2782,3697,2292,3369
person:641,548,0,1991,2810,417,714,264,605,2807,135,1590,1712,2321,2259,3233,1828,2865
person:648,2537,1991,0,819,1574,2705,2255,1391,815,1939,728,775,859,571,1767,1018,1181
person:652,3356,2810,819,0,2393,3524,3074,2209,12,2757,1417,1393,1062,814,1552,1545,946
person:658,963,417,1574,2393,0,1131,681,202,2390,375,1197,1327,1930,1851,2864,1472,2467
person:673,174,714,2705,3524,1131,0,449,1318,3521,778,2272,2384,2994,2956,3870,2465,3544
person:675,285,264,2255,3074,681,449,0,869,3071,340,1838,1956,2566,2515,3463,2056,3113
person:703,1153,605,1391,2209,202,1318,869,0,2205,577,1077,1216,1805,1702,2758,1390,2332
handbag:723,3353,2807,815,12,2390,3521,3071,2205,0,2754,1419,1396,1069,819,1563,1549,957
backpack:119,605,135,1939,2757,375,778,340,577,2754,0,1499,1616,2226,2178,3126,1719,2773
bird:733,2098,1590,728,1417,1197,2272,1838,1077,1419,1499,0,148,733,697,1681,401,1275
bird:742,2209,1712,775,1393,1327,2384,1956,1216,1396,1616,148,0,610,626,1541,271,1160
bird:745,2820,2321,859,1062,1930,2994,2566,1805,1069,2226,733,610,0,309,978,594,551
bird:747,2782,2259,571,814,1851,2956,2515,1702,819,2178,697,626,309,0,1203,735,653
bird:749,3697,3233,1767,1552,2864,3870,3463,2758,1563,3126,1681,1541,978,1203,0,1407,625
bird:708,2292,1828,1018,1545,1472,2465,2056,1390,1549,1719,401,271,594,735,1407,0,1131
bird:720,3369,2865,1181,946,2467,3544,3113,2332,957,2773,1275,1160,551,653,625,1131,0
