,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:799,person:803,person:811,bird:808,bird:820,bird:824,person:838,bird:807
person:648,0,898,1735,817,1968,2200,1704,1439,1323,1211,998,1017,201,1407
person:652,898,0,2634,84,2867,3099,1175,2338,428,1107,1320,613,699,2232
person:703,1735,2634,0,2553,236,471,3249,309,3059,2577,2062,2638,1936,922
handbag:723,817,84,2553,0,2786,3017,1184,2256,506,1065,1251,585,617,2148
person:778,1968,2867,236,2786,0,234,3455,531,3290,2773,2247,2855,2168,1042
person:675,2200,3099,471,3017,234,0,3664,761,3521,2975,2442,3074,2399,1198
bird:799,1704,1175,3249,1184,3455,3664,0,2941,1031,714,1268,692,1542,2549
person:803,1439,2338,309,2256,531,761,2941,0,2760,2272,1764,2329,1639,709
person:811,1323,428,3059,506,3290,3521,1031,2760,0,1232,1584,734,1122,2618
bird:808,1211,1107,2577,1065,2773,2975,714,2272,1232,0,554,509,1108,1840
bird:820,998,1320,2062,1251,2247,2442,1268,1764,1584,554,0,874,989,1288
bird:824,1017,613,2638,585,2855,3074,692,2329,734,509,874,0,850,2038
person:838,201,699,1936,617,2168,2399,1542,1639,1122,1108,989,850,0,1574
bird:807,1407,2232,922,2148,1042,1198,2549,709,2618,1840,1288,2038,1574,0
