,person:1,person:2,person:3,person:4,person:5,person:9,person:66,kite:71,person:73,bird:45,bird:82
person:1,0,853,2691,1983,1325,2309,3127,3157,3401,897,932
person:2,853,0,1842,1141,473,1462,2278,2387,2555,1178,719
person:3,2691,1842,0,714,1368,384,436,981,715,2679,2099
person:4,1983,1141,714,0,672,330,1148,1339,1418,1990,1405
person:5,1325,473,1368,672,0,989,1804,1961,2082,1498,938
person:9,2309,1462,384,330,989,0,819,1139,1093,2308,1725
person:66,3127,2278,436,1148,1804,819,0,934,290,3095,2519
kite:71,3157,2387,981,1339,1961,1139,934,0,910,2857,2349
person:73,3401,2555,715,1418,2082,1093,290,910,0,3332,2763
bird:45,897,1178,2679,1990,1498,2308,3095,2857,3332,0,584
bird:82,932,719,2099,1405,938,1725,2519,2349,2763,584,0
