,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,person:119,handbag:137,person:164,bird:160,bird:97,bird:177,bird:184
person:1,0,892,2469,1607,1437,2216,2897,3405,3266,2633,2653,894,1302,1107,1317
person:2,892,0,1582,731,546,1330,2010,2524,2381,1742,1802,1117,1041,873,606
person:3,2469,1582,0,866,1035,253,428,948,799,188,451,2355,1857,1863,1279
person:4,1607,731,866,0,215,613,1293,1798,1659,1038,1075,1546,1151,1095,485
person:5,1437,546,1035,215,0,783,1463,1980,1834,1196,1281,1481,1167,1075,502
person:9,2216,1330,253,613,783,0,681,1197,1051,427,583,2119,1643,1635,1040
person:66,2897,2010,428,1293,1463,681,0,534,374,282,509,2759,2235,2259,1691
person:73,3405,2524,948,1798,1980,1197,534,0,174,816,818,3198,2638,2689,2156
person:119,3266,2381,799,1659,1834,1051,374,174,0,655,737,3092,2546,2586,2037
handbag:137,2633,1742,188,1038,1196,427,282,816,655,0,521,2541,2045,2051,1463
person:164,2653,1802,451,1075,1281,583,509,818,737,521,0,2384,1820,1874,1364
bird:160,894,1117,2355,1546,1481,2119,2759,3198,3092,2541,2384,0,615,510,1079
bird:97,1302,1041,1857,1151,1167,1643,2235,2638,2546,2045,1820,615,0,200,672
bird:177,1107,873,1863,1095,1075,1635,2259,2689,2586,2051,1874,510,200,0,610
bird:184,1317,606,1279,485,502,1040,1691,2156,2037,1463,1364,1079,672,610,0
