,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,handbag:137,bird:201,bird:168,bird:125
person:1,0,923,2472,1588,1359,2225,2763,3393,2637,2269,916,863
person:2,923,0,1553,664,439,1308,1844,2476,1714,1503,1016,1247
person:3,2472,1553,0,893,1114,247,291,923,190,924,2199,2526
person:4,1588,664,893,0,233,651,1184,1816,1050,1087,1476,1773
person:5,1359,439,1114,233,0,868,1405,2037,1277,1167,1267,1554
person:9,2225,1308,247,651,868,0,537,1168,425,842,1966,2290
person:66,2763,1844,291,1184,1405,537,0,632,171,1062,2467,2797
person:119,3393,2476,923,1816,2037,1168,632,0,777,1503,3055,3388
handbag:137,2637,1714,190,1050,1277,425,171,777,0,1086,2388,2713
bird:201,2269,1503,924,1087,1167,842,1062,1503,1086,0,1678,2009
bird:168,916,1016,2199,1476,1267,1966,2467,3055,2388,1678,0,334
bird:125,863,1247,2526,1773,1554,2290,2797,3388,2713,2009,334,0
