,person:3,person:119,person:377,person:468,person:566,person:583,person:587,person:596,bird:554,bird:537,bird:625,bird:615
person:3,0,1819,2257,752,2563,2051,2667,844,2308,1896,1444,1058
person:119,1819,0,439,2570,746,232,854,981,1333,1162,2734,2623
person:377,2257,439,0,3008,321,209,437,1417,1414,1369,3138,3052
person:468,752,2570,3008,0,3315,2802,3419,1590,2978,2565,1395,876
person:566,2563,746,321,3315,0,515,118,1728,1434,1481,3377,3322
person:583,2051,232,209,2802,515,0,625,1213,1337,1238,2937,2843
person:587,2667,854,437,3419,118,625,0,1835,1433,1512,3450,3408
person:596,844,981,1417,1590,1728,1213,1835,0,1754,1384,1991,1758
bird:554,2308,1333,1414,2978,1434,1337,1433,1754,0,414,2456,2610
bird:537,1896,1162,1369,2565,1481,1238,1512,1384,414,0,2107,2221
bird:625,1444,2734,3138,1395,3377,2937,3450,1991,2456,2107,0,520
bird:615,1058,2623,3052,876,3322,2843,3408,1758,2610,2221,520,0
