,person:641,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:791,bird:795,bird:798,bird:799,bird:802,person:803,kite:807,bird:808,bird:776,bird:810,person:811
person:641,0,2514,3398,855,3300,533,299,2365,3500,2649,1750,3265,1029,636,1483,3022,1630,3697
person:648,2514,0,884,1678,786,1999,2236,1021,1242,625,1172,1281,1487,2379,1290,860,1047,1206
person:652,3398,884,0,2562,98,2883,3120,1537,841,1006,1929,1173,2371,3233,2104,853,1874,377
person:703,855,1678,2562,0,2464,324,563,1722,2745,1896,1149,2567,209,977,897,2271,936,2876
handbag:723,3300,786,98,2464,0,2786,3022,1455,839,923,1835,1141,2273,3136,2008,798,1777,453
person:778,533,1999,2883,324,2786,0,239,1969,3040,2188,1369,2840,514,787,1102,2563,1194,3194
person:675,299,2236,3120,563,3022,239,0,2161,3259,2407,1551,3045,749,706,1282,2782,1399,3428
bird:791,2365,1021,1537,1722,1455,1969,2161,0,1225,532,616,911,1517,1983,882,790,785,1665
bird:795,3500,1242,841,2745,839,3040,3259,1225,0,852,1800,436,2536,3186,2044,477,1870,669
bird:798,2649,625,1006,1896,923,2188,2407,532,852,0,987,719,1686,2363,1212,375,1023,1160
bird:799,1750,1172,1929,1149,1835,1369,1551,616,1800,987,0,1522,957,1386,268,1334,278,2138
bird:802,3265,1281,1173,2567,1141,2840,3045,911,436,719,1522,0,2358,2893,1783,427,1647,1083
person:803,1029,1487,2371,209,2273,514,749,1517,2536,1686,957,2358,0,1042,716,2062,732,2679
kite:807,636,2379,3233,977,3136,787,706,1983,3186,2363,1386,2893,1042,0,1151,2719,1363,3488
bird:808,1483,1290,2104,897,2008,1102,1282,882,2044,1212,268,1783,716,1151,0,1572,245,2341
bird:776,3022,860,853,2271,798,2563,2782,790,477,375,1334,427,2062,2719,1572,0,1394,892
bird:810,1630,1047,1874,936,1777,1194,1399,785,1870,1023,278,1647,732,1363,245,1394,0,2125
person:811,3697,1206,377,2876,453,3194,3428,1665,669,1160,2138,1083,2679,3488,2341,892,2125,0
