,person:377,person:566,person:641,person:648,person:652,person:658,person:673,person:675,bird:695,person:703,bird:707,bird:708,kite:712,bird:715,bird:717,bird:718,bird:719
person:377,0,534,331,2094,2882,427,695,235,2603,705,2715,1243,701,900,1357,2483,2021
person:566,534,0,859,2619,3407,951,165,300,3016,1235,3179,1590,480,1299,1253,2986,2506
person:641,331,859,0,1762,2551,96,1022,564,2313,376,2399,1023,918,663,1435,2153,1698
person:648,2094,2619,1762,0,788,1668,2783,2327,1334,1389,1036,1519,2557,1515,2688,536,562
person:652,2882,3407,2551,788,0,2456,3572,3115,1487,2177,1001,2212,3332,2268,3401,599,1088
person:658,427,951,96,1668,2456,0,1115,659,2225,286,2304,961,985,601,1459,2057,1603
person:673,695,165,1022,2783,3572,1115,0,460,3172,1398,3342,1742,557,1458,1312,3152,2671
person:675,235,300,564,2327,3115,659,460,0,2790,939,2924,1394,569,1072,1302,2708,2239
bird:695,2603,3016,2313,1334,1487,2225,3172,2790,0,2046,503,1441,2740,1719,2478,949,836
person:703,705,1235,376,1389,2177,286,1398,939,2046,0,2079,934,1257,604,1659,1797,1367
bird:707,2715,3179,2399,1036,1001,2304,3342,2924,503,2079,0,1686,2968,1891,2819,538,716
bird:708,1243,1590,1023,1519,2212,961,1742,1394,1441,934,1686,0,1300,360,1189,1660,1137
kite:712,701,480,918,2557,3332,985,557,569,2740,1257,2968,1300,0,1089,774,2853,2344
bird:715,900,1299,663,1515,2268,601,1458,1072,1719,604,1891,360,1089,0,1202,1767,1255
bird:717,1357,1253,1435,2688,3401,1459,1312,1302,2478,1659,2819,1189,774,1202,0,2847,2326
bird:718,2483,2986,2153,536,599,2057,3152,2708,949,1797,538,1660,2853,1767,2847,0,522
bird:719,2021,2506,1698,562,1088,1603,2671,2239,836,1367,716,1137,2344,1255,2326,522,0
