,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:791,bird:798,bird:799,person:803,person:811,bird:808,bird:820
person:648,0,885,1683,803,1977,2206,1258,1544,863,1473,1226,1010,1196
person:652,885,0,2568,84,2862,3092,1241,974,1342,2358,345,1728,1991
person:703,1683,2568,0,2487,296,527,2479,3091,1781,227,2910,1308,1014
handbag:723,803,84,2487,0,2780,3009,1197,990,1266,2276,424,1645,1907
person:778,1977,2862,296,2780,0,231,2723,3363,2025,507,3203,1530,1215
person:675,2206,3092,527,3009,231,0,2919,3577,2223,734,3431,1718,1394
bird:791,1258,1241,2479,1197,2723,2919,0,831,698,2253,1334,1206,1537
bird:798,1544,974,3091,990,3363,3577,831,0,1409,2865,832,1926,2253
bird:799,863,1342,1781,1266,2025,2223,698,1409,0,1556,1583,521,852
person:803,1473,2358,227,2276,507,734,2253,2865,1556,0,2697,1091,812
person:811,1226,345,2910,424,3203,3431,1334,832,1583,2697,0,2013,2293
bird:808,1010,1728,1308,1645,1530,1718,1206,1926,521,1091,2013,0,331
bird:820,1196,1991,1014,1907,1215,1394,1537,2253,852,812,2293,331,0
