,person:1,person:2,person:3,person:4,person:5,person:6,person:9,bird:12,kite:15,person:66
person:1,0,843,2889,2072,1282,3328,2361,989,1945,3179
person:2,843,0,2050,1242,441,2488,1525,1470,1263,2340
person:3,2889,2050,0,824,1609,440,530,3230,1328,289
person:4,2072,1242,824,0,804,1264,295,2425,711,1112
person:5,1282,441,1609,804,0,2047,1085,1798,961,1899
person:6,3328,2488,440,1264,2047,0,970,3661,1725,154
person:9,2361,1525,530,295,1085,970,0,2715,905,819
bird:12,989,1470,3230,2425,1798,3661,2715,0,1997,3506
kite:15,1945,1263,1328,711,961,1725,905,1997,0,1573
person:66,3179,2340,289,1112,1899,154,819,3506,1573,0
