,person:1,person:2,person:3,person:4,person:5,person:6,person:9,bird:45,bird:52,bird:12
person:1,0,843,2926,2129,1277,3340,2397,1440,2583,999
person:2,843,0,2087,1297,435,2500,1561,918,1806,1220
person:3,2926,2087,0,805,1651,414,531,1870,759,2884
person:4,2129,1297,805,0,864,1219,274,1128,656,2107
person:5,1277,435,1651,864,0,2064,1125,827,1409,1484
person:6,3340,2500,414,1219,2064,0,946,2264,1065,3285
person:9,2397,1561,531,274,1125,946,0,1379,595,2374
bird:45,1440,918,1870,1128,827,2264,1379,0,1291,1028
bird:52,2583,1806,759,656,1409,1065,595,1291,0,2317
bird:12,999,1220,2884,2107,1484,3285,2374,1028,2317,0
