,person:1,person:2,person:3,person:5,person:9,person:66,person:119,backpack:137,bird:201,person:251,bird:291,person:4,bird:298
person:1,0,866,2469,1315,2199,2750,3395,2651,1904,1075,1807,1570,2364
person:2,866,0,1608,452,1340,1889,2535,1786,1415,484,1227,706,1618
person:3,2469,1608,0,1156,271,280,927,205,1543,1514,1320,902,820
person:5,1315,452,1156,0,888,1437,2083,1335,1261,540,1025,254,1245
person:9,2199,1340,271,888,0,551,1195,466,1367,1247,1127,636,761
person:66,2750,1889,280,1437,551,0,647,147,1732,1786,1526,1183,936
person:119,3395,2535,927,2083,1195,647,0,764,2210,2409,2044,1830,1363
backpack:137,2651,1786,205,1335,466,147,764,0,1737,1714,1518,1080,979
bird:201,1904,1415,1543,1261,1367,1732,2210,1737,0,940,256,1258,847
person:251,1075,484,1514,540,1247,1786,2409,1714,940,0,775,721,1290
bird:291,1807,1227,1320,1025,1127,1526,2044,1518,256,775,0,1006,704
person:4,1570,706,902,254,636,1183,1830,1080,1258,721,1006,0,1077
bird:298,2364,1618,820,1245,761,936,1363,979,847,1290,704,1077,0
