,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,person:673,person:675,bird:695,person:703,bird:707,bird:708
person:377,0,531,613,485,2105,2886,608,708,252,2252,775,1977,1009
person:566,531,0,83,1008,2628,3410,1106,227,279,2658,1302,2427,1318
person:587,613,83,0,1092,2711,3493,1188,168,361,2732,1385,2506,1387
person:641,485,1008,1092,0,1620,2402,177,1193,733,1845,294,1535,800
person:648,2105,2628,2711,1620,0,782,1531,2813,2354,1235,1330,874,1725
person:652,2886,3410,3493,2402,782,0,2312,3594,3136,1593,2111,1380,2451
backpack:658,608,1106,1188,177,1531,2312,0,1305,842,1675,273,1377,646
person:673,708,227,168,1193,2813,3594,1305,0,463,2882,1482,2645,1545
person:675,252,279,361,733,2354,3136,842,463,0,2444,1025,2191,1142
bird:695,2252,2658,2732,1845,1235,1593,1675,2882,2444,0,1668,408,1365
person:703,775,1302,1385,294,1330,2111,273,1482,1025,1668,0,1325,861
bird:707,1977,2427,2506,1535,874,1380,1377,2645,2191,408,1325,0,1212
bird:708,1009,1318,1387,800,1725,2451,646,1545,1142,1365,861,1212,0
