,person:2,person:3,person:5,person:119,handbag:137,person:377,person:468,bird:522,bird:514,bird:490,bird:492
person:2,0,1413,418,2493,1769,2780,803,1843,2585,1024,906
person:3,1413,0,994,1081,397,1370,609,864,1331,2029,1478
person:5,418,994,0,2074,1353,2362,385,1485,2195,1245,905
person:119,2493,1081,2074,0,746,293,1690,1233,907,3045,2456
handbag:137,1769,397,1353,746,0,1021,975,1035,1245,2426,1873
person:377,2780,1370,2362,293,1021,0,1978,1487,1029,3337,2746
person:468,803,609,385,1690,975,1978,0,1180,1842,1514,1048
bird:522,1843,864,1485,1233,1035,1487,1180,0,799,2027,1421
bird:514,2585,1331,2195,907,1245,1029,1842,799,0,2825,2220
bird:490,1024,2029,1245,3045,2426,3337,1514,2027,2825,0,607
bird:492,906,1478,905,2456,1873,2746,1048,1421,2220,607,0
