,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,person:673,person:675,bird:695,person:703,bird:707,bird:708
person:377,0,532,617,403,2096,2885,519,701,249,2396,749,2276,1093
person:566,532,0,85,930,2621,3410,1026,211,284,2807,1278,2737,1423
person:587,617,85,0,1013,2702,3492,1106,172,369,2869,1361,2807,1478
person:641,403,930,1013,0,1692,2481,154,1105,650,2057,347,1901,882
person:648,2096,2621,2702,1692,0,789,1598,2797,2343,1277,1347,851,1641
person:652,2885,3410,3492,2481,789,0,2388,3586,3132,1577,2135,1187,2369
backpack:658,519,1026,1106,154,1598,2388,0,1212,755,1907,292,1761,740
person:673,701,211,172,1105,2797,3586,1212,0,456,3017,1450,2941,1634
person:675,249,284,369,650,2343,3132,755,456,0,2591,997,2494,1240
bird:695,2396,2807,2869,2057,1277,1577,1907,3017,2591,0,1826,432,1404
person:703,749,1278,1361,347,1347,2135,292,1450,997,1826,0,1621,877
bird:707,2276,2737,2807,1901,851,1187,1761,2941,2494,432,1621,0,1419
bird:708,1093,1423,1478,882,1641,2369,740,1634,1240,1404,877,1419,0
