,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,person:897,handbag:838,person:909,bird:877,bird:917,bird:918,bird:921,bird:922,bird:923
person:648,0,787,1800,709,1971,2237,1471,1328,205,400,2088,905,1329,1811,1203,866,1337
person:652,787,0,2587,90,2759,3024,2258,543,588,411,2875,1329,2067,1257,620,1571,1006
person:703,1800,2587,0,2509,171,441,339,3129,2000,2188,296,1843,866,3453,2930,1237,2884
handbag:723,709,90,2509,0,2680,2944,2178,619,514,350,2796,1240,1978,1267,624,1481,974
person:778,1971,2759,171,2680,0,270,505,3299,2171,2360,128,1987,984,3611,3095,1386,3040
person:675,2237,3024,441,2944,270,0,766,3564,2438,2627,148,2205,1179,3851,3348,1617,3275
person:803,1471,2258,339,2178,505,766,0,2797,1672,1863,618,1520,605,3114,2591,909,2548
person:811,1328,543,3129,619,3299,3564,2797,0,1132,954,3415,1735,2574,994,548,2072,1029
person:897,205,588,2000,514,2171,2438,1672,1132,0,195,2289,1011,1529,1680,1053,1057,1250
handbag:838,400,411,2188,350,2360,2627,1863,954,195,0,2479,1147,1723,1583,943,1246,1208
person:909,2088,2875,296,2796,128,148,618,3415,2289,2479,0,2068,1049,3708,3201,1475,3133
bird:877,905,1329,1843,1240,1987,2205,1520,1735,1011,1147,2068,0,1036,1689,1317,612,1101
bird:917,1329,2067,866,1978,984,1179,605,2574,1529,1723,1049,1036,0,2713,2266,504,2128
bird:918,1811,1257,3453,1267,3611,3851,3114,994,1680,1583,3708,1689,2713,0,643,2236,587
bird:921,1203,620,2930,624,3095,3348,2591,548,1053,943,3201,1317,2266,643,0,1766,482
bird:922,866,1571,1237,1481,1386,1617,909,2072,1057,1246,1475,612,504,2236,1766,0,1658
bird:923,1337,1006,2884,974,3040,3275,2548,1029,1250,1208,3133,1101,2128,587,482,1658,0
