,person:1,person:2,person:3,person:5,person:9,person:66,person:119,backpack:137,bird:201,person:251,person:4,bird:298,bird:308,bird:280,bird:250
person:1,0,863,2471,1316,2192,2756,3394,2646,1749,1029,1586,2379,1772,2171,776
person:2,863,0,1611,454,1334,1897,2537,1784,1306,463,724,1639,1243,1392,741
person:3,2471,1611,0,1157,279,285,925,199,1633,1562,889,867,1454,688,2044
person:5,1316,454,1157,0,880,1443,2082,1329,1213,569,270,1276,1095,1004,1029
person:9,2192,1334,279,880,0,564,1202,468,1432,1287,615,811,1255,562,1771
person:66,2756,1897,285,1443,564,0,640,155,1841,1839,1175,978,1663,872,2317
person:119,3394,2537,925,2082,1202,640,0,769,2340,2456,1815,1386,2169,1391,2925
backpack:137,2646,1784,199,1329,468,155,769,0,1827,1756,1060,1020,1648,871,2239
bird:201,1749,1306,1633,1213,1432,1841,2340,1827,0,850,1262,969,179,970,984
person:251,1029,463,1562,569,1287,1839,2456,1756,850,0,780,1350,809,1154,487
person:4,1586,724,889,270,615,1175,1815,1060,1262,780,0,1116,1116,829,1261
bird:298,2379,1639,867,1276,811,978,1386,1020,969,1350,1116,0,810,290,1735
bird:308,1772,1243,1454,1095,1255,1663,2169,1648,179,809,1116,810,0,792,1032
bird:280,2171,1392,688,1004,562,872,1391,871,970,1154,829,290,792,0,1582
bird:250,776,741,2044,1029,1771,2317,2925,2239,984,487,1261,1735,1032,1582,0
