,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:873,bird:877,bird:892
person:648,0,843,1783,752,2014,2242,1471,1311,1193,1617,1484
person:652,843,0,2626,94,2858,3085,2314,470,1166,2415,1092
person:703,1783,2626,0,2536,235,466,326,3094,2522,750,3023
handbag:723,752,94,2536,0,2767,2994,2223,558,1117,2321,1087
person:778,2014,2858,235,2767,0,231,546,3325,2715,837,3226
person:675,2242,3085,466,2994,231,0,771,3552,2907,969,3427
person:803,1471,2314,326,2223,546,771,0,2780,2202,593,2698
person:811,1311,470,3094,558,3325,3552,2780,0,1341,2855,1054
bird:873,1193,1166,2522,1117,2715,2907,2202,1341,0,2002,561
bird:877,1617,2415,750,2321,837,969,593,2855,2002,0,2546
bird:892,1484,1092,3023,1087,3226,3427,2698,1054,561,2546,0
