,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,person:897,handbag:838,person:909,bird:877
person:648,0,816,1810,732,1977,2235,1468,1318,215,398,2098,938
person:652,816,0,2626,92,2793,3052,2284,505,606,429,2914,1556
person:703,1810,2626,0,2542,168,431,351,3128,2020,2201,297,1520
handbag:723,732,92,2542,0,2709,2967,2199,586,525,354,2829,1464
person:778,1977,2793,168,2709,0,264,514,3295,2188,2369,134,1657
person:675,2235,3052,431,2967,264,0,767,3553,2447,2629,137,1864
person:803,1468,2284,351,2199,514,767,0,2785,1680,1863,630,1193
person:811,1318,505,3128,586,3295,3553,2785,0,1111,935,3415,1978
person:897,215,606,2020,525,2188,2447,1680,1111,0,183,2310,1103
handbag:838,398,429,2201,354,2369,2629,1863,935,183,0,2492,1252
person:909,2098,2914,297,2829,134,137,630,3415,2310,2492,0,1738
bird:877,938,1556,1520,1464,1657,1864,1193,1978,1103,1252,1738,0
