,person:119,person:377,person:566,person:583,person:587,person:596,person:641,person:648,person:652,backpack:658,person:663,kite:666,person:667,bird:668,kite:669,bird:651,bird:537
person:119,0,427,854,309,963,790,1109,1771,2441,1255,1062,722,2030,2282,750,2377,2171
person:377,427,0,439,130,554,1212,1534,2194,2864,1681,650,975,2451,2694,1130,2784,2568
person:566,854,439,0,544,119,1645,1964,2626,3296,2107,210,1243,2884,3073,1491,3151,2923
person:583,309,130,544,0,654,1100,1419,2081,2751,1564,753,854,2340,2565,1000,2654,2438
person:587,963,554,119,654,0,1753,2071,2733,3403,2212,101,1307,2993,3158,1576,3233,3001
person:596,790,1212,1645,1100,1753,0,324,981,1651,479,1853,948,1239,1621,587,1743,1586
person:641,1109,1534,1964,1419,2071,324,0,662,1332,161,2171,1146,924,1345,738,1479,1353
person:648,1771,2194,2626,2081,2733,981,662,0,670,532,2833,1741,263,1027,1326,1187,1183
person:652,2441,2864,3296,2751,3403,1651,1332,670,0,1195,3503,2367,416,1050,1959,1191,1326
backpack:658,1255,1681,2107,1564,2212,479,161,532,1195,0,2313,1224,796,1191,808,1328,1214
person:663,1062,650,210,753,101,1853,2171,2833,3503,2313,0,1402,3093,3258,1676,3332,3100
kite:666,722,975,1243,854,1307,948,1146,1741,2367,1224,1402,0,1999,1901,415,1957,1713
person:667,2030,2451,2884,2340,2993,1239,924,263,416,796,3093,1999,0,1039,1585,1198,1251
bird:668,2282,2694,3073,2565,3158,1621,1345,1027,1050,1191,3258,1901,1039,0,1582,160,305
kite:669,750,1130,1491,1000,1576,587,738,1326,1959,808,1676,415,1585,1582,0,1661,1439
bird:651,2377,2784,3151,2654,3233,1743,1479,1187,1191,1328,3332,1957,1198,160,1661,0,264
bird:537,2171,2568,2923,2438,3001,1586,1353,1183,1326,1214,3100,1713,1251,305,1439,264,0
