,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,bird:443,bird:383,person:468,bird:470,bird:392,bird:489
person:2,0,1665,471,2531,1794,121,750,2804,2773,1744,1286,1387,1407,1501
person:3,1665,0,1194,866,172,1598,2415,1140,1409,2894,379,1924,1045,766
person:5,471,1194,0,2060,1325,412,1221,2333,2346,1994,815,1361,1076,1102
person:119,2531,866,2060,0,747,2464,3282,276,1126,3663,1245,2624,1693,1394
handbag:137,1794,172,1325,747,0,1734,2545,1013,1435,3064,515,2096,1214,929
handbag:363,121,1598,412,2464,1734,0,822,2739,2670,1689,1221,1276,1291,1395
person:370,750,2415,1221,3282,2545,822,0,3555,3463,1530,2037,1685,2032,2184
person:377,2804,1140,2333,276,1013,2739,3555,0,1207,3931,1518,2885,1954,1658
bird:443,2773,1409,2346,1126,1435,2670,3463,1207,0,3345,1678,2260,1462,1278
bird:383,1744,2894,1994,3663,3064,1689,1530,3931,3345,0,2588,1088,1989,2277
person:468,1286,379,815,1245,515,1221,2037,1518,1678,2588,0,1683,907,700
bird:470,1387,1924,1361,2624,2096,1276,1685,2885,2260,1088,1683,0,930,1229
bird:392,1407,1045,1076,1693,1214,1291,2032,1954,1462,1989,907,930,0,301
bird:489,1501,766,1102,1394,929,1395,2184,1658,1278,2277,700,1229,301,0
