,person:641,person:648,person:652,person:673,person:703,handbag:723,backpack:119,bird:753,bird:736,person:778,bird:779,person:675
person:641,0,2379,3319,168,908,3230,63,2772,3280,451,2206,231
person:648,2379,0,940,2546,1486,851,2319,1125,1151,1943,1126,2167
person:652,3319,940,0,3486,2425,89,3259,1333,817,2883,1702,3107
person:673,168,2546,3486,0,1071,3397,231,2935,3447,611,2365,386
person:703,908,1486,2425,1071,0,2337,852,2059,2470,461,1570,686
handbag:723,3230,851,89,3397,2337,0,3170,1276,796,2795,1626,3018
backpack:119,63,2319,3259,231,852,3170,0,2709,3217,399,2143,188
bird:753,2772,1125,1333,2935,2059,1276,2709,0,691,2429,597,2617
bird:736,3280,1151,817,3447,2470,796,3217,691,0,2891,1242,3098
person:778,451,1943,2883,611,461,2795,399,2429,2891,0,1893,225
bird:779,2206,1126,1702,2365,1570,1626,2143,597,1242,1893,0,2066
person:675,231,2167,3107,386,686,3018,188,2617,3098,225,2066,0
