,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:873,kite:877,bird:885
person:648,0,858,1772,764,2003,2235,1468,1318,1107,1673,689
person:652,858,0,2630,97,2861,3093,2326,462,1179,2489,723
person:703,1772,2630,0,2537,234,470,319,3090,2380,721,2258
handbag:723,764,97,2537,0,2768,2999,2231,553,1116,2391,646
person:778,2003,2861,234,2768,0,235,539,3321,2572,792,2473
person:675,2235,3093,470,2999,235,0,767,3552,2767,913,2689
person:803,1468,2326,319,2231,539,767,0,2784,2066,594,1938
person:811,1318,462,3090,553,3321,3552,2784,0,1397,2922,1042
bird:873,1107,1179,2380,1116,2572,2767,2066,1397,0,1930,500
kite:877,1673,2489,721,2391,792,913,594,2922,1930,0,1951
bird:885,689,723,2258,646,2473,2689,1938,1042,500,1951,0
