,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,bird:672,person:673,person:675,bird:679,bird:695
person:119,0,406,929,1022,361,1683,2438,496,2163,1121,655,2607,1393
person:377,406,0,530,626,763,2086,2841,902,2541,716,253,3000,1736
person:566,929,530,0,97,1289,2612,3367,1418,2996,207,277,3477,2154
person:587,1022,626,97,0,1383,2705,3460,1510,3071,149,373,3557,2225
person:641,361,763,1289,1383,0,1322,2078,178,1879,1479,1014,2293,1185
person:648,1683,2086,2612,2705,1322,0,755,1201,1133,2802,2337,1264,1199
person:652,2438,2841,3367,3460,2078,755,0,1954,1250,3558,3093,1034,1737
backpack:658,496,902,1418,1510,178,1201,1954,0,1702,1614,1148,2124,1012
bird:672,2163,2541,2996,3071,1879,1133,1250,1702,0,3203,2758,540,870
person:673,1121,716,207,149,1479,2802,3558,1614,3203,0,466,3683,2361
person:675,655,253,277,373,1014,2337,3093,1148,2758,466,0,3228,1932
bird:679,2607,3000,3477,3557,2293,1264,1034,2124,540,3683,3228,0,1396
bird:695,1393,1736,2154,2225,1185,1199,1737,1012,870,2361,1932,1396,0
