,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,bird:443,bird:453,bird:364,bird:383
person:2,0,1645,468,2522,1685,121,841,2757,2837,1691,1188,1225
person:3,1645,0,1177,877,129,1605,2481,1114,1440,737,1280,2335
person:5,468,1177,0,2054,1219,438,1306,2289,2405,1281,956,1435
person:119,2522,877,2054,0,848,2482,3359,243,1067,1244,2002,3133
handbag:137,1685,129,1219,848,0,1654,2525,1076,1510,866,1396,2429
handbag:363,121,1605,438,2482,1654,0,877,2720,2756,1605,1073,1132
person:370,841,2481,1306,3359,2525,877,0,3595,3595,2440,1781,1147
person:377,2757,1114,2289,243,1076,2720,3595,0,1135,1474,2240,3375
bird:443,2837,1440,2405,1067,1510,2756,3595,1135,0,1155,1889,3020
bird:453,1691,737,1281,1244,866,1605,2440,1474,1155,0,796,1955
bird:364,1188,1280,956,2002,1396,1073,1781,2240,1889,796,0,1158
bird:383,1225,2335,1435,3133,2429,1132,1147,3375,3020,1955,1158,0
