,person:3,person:119,person:377,person:566,person:583,person:587,person:596,bird:554,bird:537,person:641,bird:643,person:648
person:3,0,2440,2903,3258,2756,3356,1558,2294,1979,780,2052,535
person:119,2440,0,464,820,320,922,887,1719,1588,1663,909,1928
person:377,2903,464,0,375,148,482,1346,1998,1926,2125,1261,2388
person:566,3258,820,375,0,521,107,1708,2142,2122,2483,1495,2749
person:583,2756,320,148,521,0,627,1199,1927,1834,1977,1161,2240
person:587,3356,922,482,107,627,0,1809,2184,2178,2582,1564,2849
person:596,1558,887,1346,1708,1199,1809,0,1634,1365,779,895,1041
bird:554,2294,1719,1998,2142,1927,2184,1634,0,323,1847,836,2057
bird:537,1979,1588,1926,2122,1834,2178,1365,323,0,1526,678,1734
person:641,780,1663,2125,2483,1977,2582,779,1847,1526,0,1388,273
bird:643,2052,909,1261,1495,1161,1564,895,836,678,1388,0,1651
person:648,535,1928,2388,2749,2240,2849,1041,2057,1734,273,1651,0
