,person:1,person:2,person:3,person:5,person:119,handbag:137,bird:298,handbag:363,bird:365,person:370,person:377,bird:383,person:66,bird:388,bird:409,bird:251,bird:364,bird:306
person:1,0,814,2371,1311,3357,2558,1660,859,1268,330,3523,1429,2669,3445,1236,817,1786,2559
person:2,814,0,1561,499,2547,1744,1444,153,1267,486,2711,1134,1858,2677,645,726,1197,1838
person:3,2371,1561,0,1061,986,227,1983,1517,2195,2041,1151,1759,297,1233,1330,1923,1181,805
person:5,1311,499,1061,0,2048,1247,1464,471,1449,981,2212,1154,1359,2197,563,1004,942,1404
person:119,3357,2547,986,2048,0,817,2769,2502,3068,3027,172,2606,688,704,2270,2870,1980,1212
handbag:137,2558,1744,227,1247,817,0,2209,1712,2422,2229,973,1987,179,1184,1551,2141,1405,946
bird:298,1660,1444,1983,1464,2769,2209,0,1295,477,1497,2937,316,2205,2513,902,857,806,1595
handbag:363,859,153,1517,471,2502,1712,1295,0,1137,531,2669,983,1814,2594,498,612,1057,1733
bird:365,1268,1267,2195,1449,3068,2422,477,1137,0,1173,3239,467,2451,2892,918,555,1097,1954
person:370,330,486,2041,981,3027,2229,1497,531,1173,0,3193,1229,2339,3123,941,643,1504,2247
person:377,3523,2711,1151,2212,172,973,2937,2669,3239,3193,0,2777,854,767,2442,3042,2150,1371
bird:383,1429,1134,1759,1154,2606,1987,316,983,467,1229,2777,0,2003,2426,590,612,630,1487
person:66,2669,1858,297,1359,688,179,2205,1814,2451,2339,854,2003,0,1005,1609,2206,1398,834
bird:388,3445,2677,1233,2197,704,1184,2513,2594,2892,3123,767,2426,1005,0,2245,2823,1808,941
bird:409,1236,645,1330,563,2270,1551,902,498,918,941,2442,590,1609,2245,0,599,568,1332
bird:251,817,726,1923,1004,2870,2141,857,612,555,643,3042,612,2206,2823,599,0,1048,1893
bird:364,1786,1197,1181,942,1980,1405,806,1057,1097,1504,2150,630,1398,1808,568,1048,0,867
bird:306,2559,1838,805,1404,1212,946,1595,1733,1954,2247,1371,1487,834,941,1332,1893,867,0
