,person:566,person:641,person:648,person:652,person:658,person:673,person:675,person:703,handbag:723,backpack:119,bird:708,bird:753,bird:757,bird:745,bird:736,bird:747,bird:733
person:566,0,438,2456,3358,952,133,255,1130,3313,451,2897,1605,2318,3502,2010,3086,2642
person:641,438,0,2024,2926,516,570,184,693,2881,125,2516,1284,1950,3116,1647,2684,2242
person:648,2456,2024,0,901,1508,2590,2208,1336,856,2009,955,1287,862,1368,933,874,601
person:652,3358,2926,901,0,2409,3491,3109,2236,44,2909,1074,2077,1427,1020,1644,740,967
person:658,952,516,1508,2409,0,1084,700,181,2365,514,2046,943,1503,2636,1217,2190,1752
person:673,133,570,2590,3491,1084,0,386,1262,3446,584,3025,1725,2444,3630,2136,3217,2773
person:675,255,184,2208,3109,700,386,0,877,3065,227,2681,1421,2109,3283,1804,2857,2414
person:703,1130,693,1336,2236,181,1262,877,0,2192,696,1919,916,1396,2500,1126,2044,1611
handbag:723,3313,2881,856,44,2365,3446,3065,2192,0,2865,1047,2034,1388,1018,1603,718,929
backpack:119,451,125,2009,2909,514,584,227,696,2865,0,2456,1196,1883,3059,1577,2637,2194
bird:708,2897,2516,955,1074,2046,3025,2681,1919,1047,2456,0,1344,587,607,895,348,363
bird:753,1605,1284,1287,2077,943,1725,1421,916,2034,1196,1344,0,757,1949,459,1598,1172
bird:757,2318,1950,862,1427,1503,2444,2109,1396,1388,1883,587,757,0,1194,308,851,462
bird:745,3502,3116,1368,1020,2636,3630,3283,2500,1018,3059,607,1949,1194,0,1502,494,891
bird:736,2010,1647,933,1644,1217,2136,1804,1126,1603,1577,895,459,308,1502,0,1138,715
bird:747,3086,2684,874,740,2190,3217,2857,2044,718,2637,348,1598,851,494,1138,0,443
bird:733,2642,2242,601,967,1752,2773,2414,1611,929,2194,363,1172,462,891,715,443,0
