,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,person:897,handbag:838,person:909,bird:877
person:648,0,829,1805,728,1984,2237,1468,1313,203,389,2101,1056
person:652,829,0,2635,104,2814,3067,2298,486,631,459,2931,1726
person:703,1805,2635,0,2534,180,438,346,3118,2004,2184,305,1381
handbag:723,728,104,2534,0,2713,2966,2197,585,532,366,2829,1625
person:778,1984,2814,180,2713,0,258,519,3297,2183,2363,129,1516
person:675,2237,3067,438,2966,258,0,769,3549,2438,2618,137,1713
person:803,1468,2298,346,2197,519,769,0,2780,1669,1851,632,1070
person:811,1313,486,3118,585,3297,3549,2780,0,1117,945,3413,2142
person:897,203,631,2004,532,2183,2438,1669,1117,0,185,2301,1226
handbag:838,389,459,2184,366,2363,2618,1851,945,185,0,2482,1394
person:909,2101,2931,305,2829,129,137,632,3413,2301,2482,0,1588
bird:877,1056,1726,1381,1625,1516,1713,1070,2142,1226,1394,1588,0
